,House,Set,Rarity,Type,Score,E,A,C,F,D,B,BigA,Clear,HardR,KC,Weight,Tokens,2,3,4,5,,2 Net,x̅,3 Net,x̅,4 Net,x̅,5 Net,x̅
Rigged Lottery,Shadows,AOA,R,Action,3,1,,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Ring of Invisibility,Shadows,AOA,R,Upgrade,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Routine Job,Shadows,AOA,R,Action,5,1,1,,,,,,,,,1.25,,0,1,2,2,,10,5,16,5.3,23,5.75,30,6
Sack of Coins,Shadows,AOA,R,Action,4,1,,1,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Scowly Caper,Shadows,AOA,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Selwyn the Fence,Shadows,AOA,R,Creature,2,,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Shard of Greed,Shadows,AOA,R,Artifact,3,1,,,,,,,,,,0.75,,2,2,2,2,,8,4,13,4.3,18,4.5,23,4.6
Sneklifter,Shadows,AOA,R,Creature,5,,,,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
The Sting,Shadows,AOA,R,Artifact,1,1,,,,,,,,,,0.25,,0,-3,-3,-3,,2,1,0,0.0,-2,-0.5,-4,-0.8
Treasure Map,Shadows,AOA,R,Action,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
,Untamed,AoA,,,,23,1,8,7,4,13,0,0,1,2,71.75,,,,,,,,,,,,,,
Dharna,Untamed,AOA,C,Creature,2,1,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Duskwitch,Untamed,AOA,C,Creature,2,,,,,,,,,,,2,,0,-1,-2,-3,,4,2,5,1.7,5,1.25,4,0.8
Fanghouse,Untamed,AOA,C,Creature,2,,,,,,1,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Full Moon,Untamed,AOA,C,Action,2,1,,,,,,,,,,2,,0,-2,-3,-4,,4,2,4,1.3,3,0.75,1,0.2
Glimmer,Untamed,AOA,C,Creature,3,1,,,1,,,,,,,3,,0,-1,-3,-5,,6,3,8,2.7,8,2,6,1.2
Grovekeeper,Untamed,AOA,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Key Charge,Untamed,AOA,C,Action,4,,,,,,,,,,1,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Knoxx,Untamed,AOA,C,Creature,2,,,,,,1,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Marmo Swarm,Untamed,AOA,C,Creature,1,,,,,,1,,,,,1,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Persistence Hunting,Untamed,AOA,C,Action,2,1,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Regrowth,Untamed,AOA,C,Action,3,1,,,1,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Rustgnawer,Untamed,AOA,C,Creature,2,,,,,,1,,,1,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Save the Pack,Untamed,AOA,C,Action,1,,,1,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Song of Spring,Untamed,AOA,C,Action,1,1,,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Tantadlin,Untamed,AOA,C,Creature,2,,,,,,1,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
They’re Everywhere!,Untamed,AOA,C,Action,3,1,,1,,,,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
AEmberspine Mongrel,Untamed,AOA,U,Creature,4,,,,,,,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Bumblebird,Untamed,AOA,U,Creature,1,,,,,,,,,,,0.5,,-2,-3,-4,-4,,0,0,-2,-0.7,-5,-1.25,-8,-1.6
Camouflage,Untamed,AOA,U,Upgrade,1,1,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Chota Hazri,Untamed,AOA,U,Creature,5,,,,,,,,,,1,2.5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Flaxia,Untamed,AOA,U,Creature,3,1,,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Fogbank,Untamed,AOA,U,Action,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Grasping Vines,Untamed,AOA,U,Action,3,1,,,,1,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Lifeweb,Untamed,AOA,U,Action,2,1,,,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Mimicry,Untamed,AOA,U,Action,6,,,,,,,,,,,3,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Nature’s Call,Untamed,AOA,U,Action,6,1,,,,1,,,,,,3,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Nepenthe Seed,Untamed,AOA,U,Artifact,4,,,,1,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Niffle Grounds,Untamed,AOA,U,Artifact,1,1,,,,,,,,,,0.5,,0,-1,-2,-2,,2,1,2,0.7,1,0.25,0,0
"Panpaca, Anga",Untamed,AOA,U,Creature,3,,,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
"Panpaca, Jaga",Untamed,AOA,U,Creature,2,,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Soldiers to Flowers,Untamed,AOA,U,Action,4,1,,,,,,,,,,2,,-1,-2,-4,-4,,7,3.5,9,3.0,9,2.25,9,1.8
Way of the Porcupine,Untamed,AOA,U,Upgrade,1,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Curiosity,Untamed,AOA,R,Action,2,1,,1,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Earthbind,Untamed,AOA,R,Upgrade,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Fuzzy Gruen,Untamed,AOA,R,Creature,3,1,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Gravid Cycle,Untamed,AOA,R,Action,3,1,,,1,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Heart of the Forest,Untamed,AOA,R,Artifact,4,,1,,,1,,,,,,1,,0,-4,-4,-4,,8,4,8,2.7,8,2,8,1.6
Inka the Spider,Untamed,AOA,R,Creature,1,,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Kindrith Longshot,Untamed,AOA,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Lupo the Scarred,Untamed,AOA,R,Creature,3,,,1,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Mighty Tiger,Untamed,AOA,R,Creature,3,,,1,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Perilous Wild,Untamed,AOA,R,Action,2,1,,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Piranha Monkeys,Untamed,AOA,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Po’s Pixies,Untamed,AOA,R,Creature,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Punctuated Equilibrium,Untamed,AOA,R,Action,6,,,,1,,,,,,,1.5,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Quicksand,Untamed,AOA,R,Action,2,1,,1,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Roxador,Untamed,AOA,R,Creature,2,,,,,,1,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Shard of Life,Untamed,AOA,R,Artifact,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Teliga,Untamed,AOA,R,Creature,5,1,,,,1,,,,,,1.25,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
The Common Cold,Untamed,AOA,R,Action,2,1,,,,,,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
Witch of the Wilds,Untamed,AOA,R,Creature,5,,,,1,,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
World Tree,Untamed,AOA,R,Artifact,2,,,,1,,,,,,,0.5,,-2,-2,-2,-2,,2,1,2,0.7,2,0.5,2,0.4
,Brobnar,WC,,,,13,8,20,1,1,20,0,2,1,0,61.50,,,,,,,,,,,,,,
Alaka,Brobnar,WC,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Brew,Brobnar,WC,C,Action,1,1,,,,,,,,,,1,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Ballcano,Brobnar,WC,C,Action,1,,,1,,,,,,,,1,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Barn Razing,Brobnar,WC,C,Action,2,,1,,,,,,,,,2,,-1,-2,-3,-4,,3,1.5,3,1.0,2,0.5,0,0
Berserker Slam,Brobnar,WC,C,Action,4,1,1,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Cowfyne,Brobnar,WC,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Ganger Chieftain,Brobnar,WC,C,Creature,4,,,1,,,1,,,,,4,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Groke,Brobnar,WC,C,Creature,4,,1,,,,1,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Gron Nine-Toes,Brobnar,WC,C,Creature,2,,,,,,1,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Irestaff,Brobnar,WC,C,Artifact,1,1,,,,,,,,,,1,,0,0,-1,-2,,2,1,3,1.0,3,0.75,2,0.4
Mogghunter,Brobnar,WC,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Narp,Brobnar,WC,C,Creature,1,,,,,,1,,,,,1,,-2,-3,-4,-5,,0,0,-2,-0.7,-5,-1.25,-9,-1.8
Shorty,Brobnar,WC,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Stilt-Kin,Brobnar,WC,C,Creature,2,,,1,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Tremor,Brobnar,WC,C,Action,2,,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Warriors’ Refrain,Brobnar,WC,C,Action,3,1,,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Blood Money,Brobnar,WC,U,Action,2,1,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Flamethrower,Brobnar,WC,U,Artifact,2,,,1,,,,,,,,1,,0,-1,-1,-2,,4,2,5,1.7,6,1.5,6,1.2
Flamewake Shaman,Brobnar,WC,U,Creature,2,,,1,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Fyre-Breath,Brobnar,WC,U,Upgrade,2,1,,1,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Gargantes Scrapper,Brobnar,WC,U,Creature,1,,,,,,,,,,,0.5,,-2,-3,-4,-5,,0,0,-2,-0.7,-5,-1.25,-9,-1.8
Gravelguts,Brobnar,WC,U,Creature,2,,,,,,1,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Little Rapscal,Brobnar,WC,U,Creature,1,,,,,,,,,,,0.5,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Ogopogo,Brobnar,WC,U,Creature,2,,,1,,,1,,,,,1,,0,-1,-1,-2,,4,2,5,1.7,6,1.5,6,1.2
Overrun,Brobnar,WC,U,Action,2,,1,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Power of Fire,Brobnar,WC,U,Action,3,,1,,,,,,,,,1.5,,-1,-2,-3,-3,,5,2.5,6,2.0,6,1.5,6,1.2
Ragwarg,Brobnar,WC,U,Artifact,2,1,,,,,,,,,,1,,-1,-2,-3,-3,,3,1.5,3,1.0,2,0.5,1,0.2
Shattered Throne,Brobnar,WC,U,Artifact,2,1,1,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sköll,Brobnar,WC,U,Creature,2,,,1,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Slimy Jark,Brobnar,WC,U,Creature,1,,,,,,,,,,,0.5,,-2,-3,-4,-4,,0,0,-2,-0.7,-5,-1.25,-8,-1.6
Smith,Brobnar,WC,U,Action,3,1,,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
The Flex,Brobnar,WC,U,Action,1,,,,,,,,,,,0.5,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Barehanded,Brobnar,WC,R,Action,3,1,,,,1,,,,,,0.75,,-1,-3,-3,-3,,5,2.5,5,1.7,5,1.25,5,1
Bellowing Patrizate,Brobnar,WC,R,Creature,2,,,1,,,1,,,,,0.5,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Cybergiant Rig,Brobnar,WC,R,Upgrade,2,1,,,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Forgemaster Og,Brobnar,WC,R,Creature,3,,,,,,1,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Grumpus Tamer,Brobnar,WC,R,Creature,1,,,,,,1,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
Guji Dinosaur Hunter,Brobnar,WC,R,Creature,2,,,1,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Igon,Brobnar,WC,R,Creature,1,,,,,,1,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
Iron Obelisk,Brobnar,WC,R,Artifact,3,,1,,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Kaloch Stonefather,Brobnar,WC,R,Creature,2,,,1,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Lava Ball,Brobnar,WC,R,Action,3,,,1,,,,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Mugwump,Brobnar,WC,R,Creature,4,,,,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Nogi Smartfist,Brobnar,WC,R,Creature,1,,,,,,1,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Old Boomy,Brobnar,WC,R,Creature,2,,,,1,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Pile of Skulls,Brobnar,WC,R,Artifact,2,,1,,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Ragnarok,Brobnar,WC,R,Action,3,,,1,,,,,1,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Rock-Hurling Giant,Brobnar,WC,R,Creature,4,,,1,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Signal Fire,Brobnar,WC,R,Artifact,3,1,,1,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
The Big One,Brobnar,WC,R,Artifact,2,,,1,,,,,1,1,,0.5,,-2,-3,-3,-3,,2,1,1,0.3,0,0,-1,-0.2
The Floor is Lava,Brobnar,WC,R,Artifact,2,1,,1,,,,,,,,0.5,,1,-3,-3,-3,,5,2.5,4,1.3,3,0.75,2,0.4
War Grumpus,Brobnar,WC,R,Creature,1,,,,,,,,,,,0.25,,-2,-2,-2,-2,,0,0,-1,-0.3,-2,-0.5,-3,-0.6
,Dis,WC,,,,21,8,16,4,7,15,0,2,2,1,84.75,,,,,,,,,,,,,,
Binding Irons,Dis,WC,C,Action,2,,,,,1,,,,,,2,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Buzzle,Dis,WC,C,Creature,3,1,,1,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Dendrix,Dis,WC,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Draining Touch,Dis,WC,C,Action,2,,,1,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Etaromme,Dis,WC,C,Creature,3,,,1,,,1,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Exhume,Dis,WC,C,Action,6,1,,,1,,,,,,,6,,1,0,-1,-2,,13,6.5,19,6.3,24,6,28,5.6
Festering Touch,Dis,WC,C,Action,2,1,,1,,,,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Harbinger of Doom,Dis,WC,C,Creature,3,,,1,,,,,1,,,3,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Impspector,Dis,WC,C,Creature,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Infurnace,Dis,WC,C,Creature,6,,1,,,1,1,,,,,6,,1,2,2,3,,13,6.5,21,7.0,29,7.25,38,7.6
Lilithal,Dis,WC,C,Creature,2,,1,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Malison,Dis,WC,C,Creature,3,,1,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Misery Exploit,Dis,WC,C,Action,1,1,,,,,,,,,,1,,-2,-3,-4,-5,,0,0,-2,-0.7,-5,-1.25,-9,-1.8
Not Finished with You,Dis,WC,C,Action,4,1,,,,,,,,,,4,,-1,-2,-2,-2,,7,3.5,9,3.0,11,2.75,13,2.6
Rotgrub,Dis,WC,C,Creature,3,,1,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
The Evil Eye,Dis,WC,C,Action,2,1,1,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Bloodshard Imp,Dis,WC,U,Creature,1,,,,,,,,,,,0.5,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Borr Nit,Dis,WC,U,Creature,3,,,,,1,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Borr Nit's Touch,Dis,WC,U,Action,5,1,,,,1,,,,,,2.5,,1,2,3,3,,11,5.5,18,6.0,26,6.5,34,6.8
E’e on the Fringes,Dis,WC,U,Creature,4,1,1,,,,,,,,,2,,1,1,0,0,,9,4.5,14,4.7,18,4.5,22,4.4
Bane,Dis,WC,U,Action,1,1,,,,,,,,,,0.5,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Gleeful Mayhem,Dis,WC,U,Action,4,1,,1,,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Hysteria,Dis,WC,U,Action,5,,,,,1,,,,,,2.5,,0,-2,-3,-3,,10,5,13,4.3,15,3.75,17,3.4
Library of the Damned,Dis,WC,U,Artifact,4,,,,1,,,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Obsidian Forge,Dis,WC,U,Artifact,5,1,,,,,,,,,1,2.5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Poltergeist,Dis,WC,U,Action,5,1,,,,,,,,1,,2.5,,0,-1,-3,-3,,10,5,14,4.7,16,4,18,3.6
Skullion,Dis,WC,U,Creature,2,,,,,,1,,,,,1,,-2,-3,-4,-5,,2,1,1,0.3,-1,-0.25,-4,-0.8
Snag,Dis,WC,U,Creature,3,,,,,1,1,,,,,1.5,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Soul Fiddle,Dis,WC,U,Artifact,1,,,,,,,,,,,0.5,,-2,-3,-4,-4,,0,0,-2,-0.7,-5,-1.25,-8,-1.6
Soulkeeper,Dis,WC,U,Upgrade,3,1,,1,,,,,,,,1.5,,0,-1,-1,-2,,6,3,8,2.7,10,2.5,11,2.2
Spyyyder,Dis,WC,U,Creature,1,,,,,,,,,,,0.5,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Three Fates,Dis,WC,U,Action,4,1,,1,,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
A Fair Game,Dis,WC,R,Action,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Collar of Subordination,Dis,WC,R,Upgrade,6,,,1,,,,,,,,1.5,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Creeping Oblivion,Dis,WC,R,Action,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Eater of the Dead,Dis,WC,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Greater Oxtet,Dis,WC,R,Creature,5,,,,1,,1,,,,,1.25,,0,-1,-1,-1,,10,5,14,4.7,18,4.5,22,4.4
Harvest Time,Dis,WC,R,Action,4,,,1,,,,,,1,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Hecatomb,Dis,WC,R,Action,3,1,,1,,,,,,,,0.75,,-1,-1,-1,-1,,5,2.5,7,2.3,9,2.25,11,2.2
Key to Dis,Dis,WC,R,Artifact,5,,,1,,,,,1,,,1.25,,-1,-3,-3,-3,,9,4.5,11,3.7,13,3.25,15,3
Lesser Oxtet,Dis,WC,R,Creature,2,,1,,1,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Lord Invidius,Dis,WC,R,Creature,4,,,1,,1,1,,,,,1,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Neffru,Dis,WC,R,Creature,2,1,,,,,1,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Noname,Dis,WC,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Onyx Knight,Dis,WC,R,Creature,3,,,1,,,1,,,,,0.75,,-1,-1,-1,-1,,5,2.5,7,2.3,9,2.25,11,2.2
Orb of Invidius,Dis,WC,R,Artifact,1,1,,,,,,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
Ortannu+,Dis,WC,R,Creature,2,1,,1,,,1,,,,,0.5,,1,2,2,2,,5,2.5,9,3.0,13,3.25,17,3.4
Sinestra,Dis,WC,R,Creature,3,,1,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Snag’s Mirror,Dis,WC,R,Artifact,0,,,,,,,,,,,0,,-2,-4,-4,-4,,-2,-1,-6,-2.0,-10,-2.5,-14,-2.8
Snaglet,Dis,WC,R,Creature,2,,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Soul Snatcher,Dis,WC,R,Artifact,2,1,,,,,,,,,,0.5,,1,1,1,1,,5,2.5,8,2.7,11,2.75,14,2.8
Wretched Doll,Dis,WC,R,Artifact,1,,,1,,,,,,,,0.25,,1,1,1,1,,3,1.5,5,1.7,7,1.75,9,1.8
,Logos,WC,,,,20,6,10,19,3,12,1,0,1,1,88.50,,,,,,,,,,,,,,
Babbling Bibliophile,Logos,WC,C,Creature,1,,,,,,,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Cutthroat Research,Logos,WC,C,Action,2,1,1,,,,,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Daughter,Logos,WC,C,Creature,4,,,,1,,,,,,,4,,1,2,2,2,,9,4.5,15,5.0,21,5.25,27,5.4
EDAI “Edie” 4x4,Logos,WC,C,Creature,6,,1,,1,,,,,,,6,,1,2,2,3,,13,6.5,21,7.0,29,7.25,38,7.6
Eyegor,Logos,WC,C,Creature,5,,,,1,,,,,,,5,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
Hapsis,Logos,WC,C,Creature,3,,,,1,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Hologrammophone,Logos,WC,C,Artifact,3,1,,,,,,,,,,3,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
Information Exchange,Logos,WC,C,Action,3,1,1,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Quant,Logos,WC,C,Creature,2,,,,1,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sanitation Engineer,Logos,WC,C,Creature,3,,,,1,,1,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Tautau Vapors,Logos,WC,C,Action,5,,,,1,,,,,,,5,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
Thorium Plasmate,Logos,WC,C,Action,2,1,,1,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Titan Guardian,Logos,WC,C,Creature,3,,,,1,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Twin Bolt Emission,Logos,WC,C,Action,3,1,,1,,,,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Wild Wormhole,Logos,WC,C,Action,4,1,,,1,,,,,,,4,,0,1,2,2,,8,4,13,4.3,19,4.75,25,5
Wormhole Technician,Logos,WC,C,Creature,2,,,,1,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Anomaly Exploiter,Logos,WC,U,Artifact,2,,,1,,,,,,,,1,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
C.AE.N.D.L.E. Unit,Logos,WC,U,Creature,4,,1,,,1,1,,,,,2,,1,2,2,2,,9,4.5,15,5.0,21,5.25,27,5.4
Code Monkey,Logos,WC,U,Creature,4,1,,,1,,,,,,,2,,1,0,-2,-2,,9,4.5,13,4.3,15,3.75,17,3.4
Data Forge,Logos,WC,U,Action,2,1,,,,,,,,,1,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Discombobulator,Logos,WC,U,Upgrade,3,1,,,,1,,,,,,1.5,,-1,-2,-3,-3,,5,2.5,6,2.0,6,1.5,6,1.2
Dr. Milli,Logos,WC,U,Creature,3,,,,1,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Groupthink Tank,Logos,WC,U,Creature,3,,,1,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Interdimensional Graft,Logos,WC,U,Action,5,1,,,,,,1,,,,2.5,,0,-1,-2,-2,,10,5,14,4.7,17,4.25,20,4
Jargogle,Logos,WC,U,Creature,4,,,,1,,,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
